neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,year,month,day
1,31,1,90,0.0,2,0.01077752117013087,1,353,2019,7,1
1,31,1,219,0.0,0,0.0007698229407236335,1,364,2016,2,19
1,26,1,228,0.005005005005005005,1,0.006928406466512702,1,364,2018,2,2
1,26,1,200,0.005005005005005005,2,0.007698229407236336,1,364,2019,7,28
1,31,0,107,0.001001001001001001,2,0.011547344110854504,0,363,2019,8,15
1,26,1,190,0.36436436436436437,3,0.06389530408006158,1,89,2016,12,17
1,36,0,99,0.0,3,0.33718244803695147,1,329,2019,8,22
1,36,0,94,0.0,3,0.2732871439568899,1,351,2019,8,23
1,25,1,131,0.0,3,0.026173979984603538,1,343,2019,8,18
1,25,1,194,0.0,2,0.012317167051578136,2,351,2018,4,20
0,8,0,250,0.0,3,0.07544264819091609,0,365,2016,5,1
1,37,1,350,0.36436436436436437,3,0.061585835257890686,1,83,2016,3,9
1,24,0,60,0.02902902902902903,3,0.01924557351809084,2,359,2019,8,5
1,36,1,250,0.007007007007007007,3,0.016166281755196302,3,364,2017,3,31
1,30,1,131,0.004004004004004004,3,0.037721324095458045,3,77,2019,7,19
1,36,1,137,0.009009009009009009,2,0.007698229407236336,3,364,2017,7,14
1,32,1,249,0.001001001001001001,3,0.057736720554272515,2,208,2019,7,25
1,31,1,110,0.003003003003003003,1,0.0038491147036181675,0,0,2016,6,2
1,29,1,175,0.002002002002002002,0,0.041570438799076216,0,0,2019,8,12
1,30,1,115,0.02902902902902903,2,0.012317167051578136,3,86,2018,12,10
1,28,1,90,0.004004004004004004,3,0.03464203233256351,3,48,2019,5,4
1,38,1,237,0.001001001001001001,3,0.022324865280985373,0,0,2016,4,4
1,25,0,56,0.001001001001001001,0,0.041570438799076216,0,0,2019,8,12
0,8,0,43,0.0890890890890891,3,0.026943802925327172,0,264,2018,8,12
1,30,1,119,0.004004004004004004,3,0.05311778290993071,3,70,2019,8,13
1,25,0,49,0.004004004004004004,3,0.025404157043879907,2,49,2019,6,29
1,36,0,75,0.0,0,0.041570438799076216,0,0,2019,8,12
1,31,0,44,0.0,2,0.007698229407236336,0,0,2016,1,2
0,8,0,40,0.0890890890890891,3,0.020015396458814474,0,292,2018,12,25
1,36,1,218,0.002002002002002002,3,0.03002309468822171,3,254,2019,3,17
1,17,0,119,0.0,0,0.041570438799076216,0,0,2019,8,12
1,28,1,190,0.0890890890890891,3,0.2817551963048499,0,59,2019,8,19
1,21,0,125,0.02002002002002002,3,0.1924557351809084,0,0,2019,3,13
1,27,0,69,0.013013013013013013,0,0.041570438799076216,0,0,2019,8,12
1,21,1,110,0.004004004004004004,3,0.05003849114703618,3,125,2019,8,3
1,25,1,112,0.001001001001001001,3,0.06312548113933794,2,318,2019,8,11
1,28,0,87,0.0,2,0.006928406466512702,1,0,2016,2,11
1,28,0,76,0.0,3,0.05619707467282525,1,0,2016,11,2
1,28,0,76,0.0,3,0.03387220939183987,1,0,2016,8,6
0,8,0,81,0.003003003003003003,0,0.041570438799076216,1,364,2019,8,12
